"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProductModel","MedicinalProductModel","","","",0,*,"","","","null {[]} {[]}
","Medicinal product (model)","Logical model for prescribed/dispensed medication. The model is shared by statements, requests, dispensations, and treatment lines. Each of those may have different restrictions in FHIR profile.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"MedicinalProductModel.identifyingCode[x]","MedicinalProductModel.identifyingCode[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
Identifier {[]} {[]}","Identifier or product code for the product, independently of the level of product. If several identifiers are specified, they shall not have conflicting meanings or very different granularities.","Identifier or product code for the product, independently of the level of product. If several identifiers are specified, they shall not have conflicting meanings or very different granularities.","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.identifyingCode[x]",0,*,"",""
"MedicinalProductModel.classification","MedicinalProductModel.classification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Classification (e.g. ATC; narcotic/psychotropic; orphan drug; etc.)","Classification (e.g. ATC; narcotic/psychotropic; orphan drug; etc.)","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.classification",0,*,"",""
"MedicinalProductModel.productName","MedicinalProductModel.productName","","","",0,1,"","","","string {[]} {[]}
","Name of the product (full name, invented name, other). When the product has different names, the appropriate one for the context should be used. Translations of names can be provided.","Name of the product (full name, invented name, other). When the product has different names, the appropriate one for the context should be used. Translations of names can be provided.","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.productName",0,1,"",""
"MedicinalProductModel.marketingAuthorisationHolder","MedicinalProductModel.marketingAuthorisationHolder","","","",0,1,"","","","Base {[]} {[]}
","Marketing authorisation holder of manufacturer of the medicinal product. Relevant for identifying the exact product.","Marketing authorisation holder of manufacturer of the medicinal product. Relevant for identifying the exact product.","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.marketingAuthorisationHolder",0,1,"",""
"MedicinalProductModel.marketingAuthorisationHolder.organizationName","MedicinalProductModel.marketingAuthorisationHolder.organizationName","","","",0,1,"","","","string {[]} {[]}
","Name of the organisation holding the authorisation for marketing/mahufacturing","Name of the organisation holding the authorisation for marketing/mahufacturing","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.marketingAuthorisationHolder.organizationName",0,1,"",""
"MedicinalProductModel.marketingAuthorisationHolder.organizationIdentifier","MedicinalProductModel.marketingAuthorisationHolder.organizationIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier of the organisation and/or its physical location","Identifier of the organisation and/or its physical location","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.marketingAuthorisationHolder.organizationIdentifier",0,*,"",""
"MedicinalProductModel.doseForm","MedicinalProductModel.doseForm","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Dose form(s) on a product level. Dose form for a single package item is defined below.","Dose form(s) on a product level. Dose form for a single package item is defined below.","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.doseForm",0,1,"",""
"MedicinalProductModel.packSize","MedicinalProductModel.packSize","","","",0,*,"","","","Quantity {[]} {[]}
","Overall amount of product in one package (100ml; 20 tablets; 1 creme & 6 pessaries)","Overall amount of product in one package (100ml; 20 tablets; 1 creme & 6 pessaries)","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.packSize",0,*,"",""
"MedicinalProductModel.item","MedicinalProductModel.item","","","",0,*,"","","","Base {[]} {[]}
","A medication item. For combination packs, this can be manufactured items with each item having its own dose form and ingredients+strengths defined","A medication item. For combination packs, this can be manufactured items with each item having its own dose form and ingredients+strengths defined","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.item",0,*,"",""
"MedicinalProductModel.item.doseForm","MedicinalProductModel.item.doseForm","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Dose form","Dose form","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.item.doseForm",0,1,"",""
"MedicinalProductModel.item.ingredient","MedicinalProductModel.item.ingredient","","","",1,*,"","","","Base {[]} {[]}
","Ingredients","Ingredients","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.item.ingredient",1,*,"",""
"MedicinalProductModel.item.ingredient.role[x]","MedicinalProductModel.item.ingredient.role[x]","","","",0,1,"","","","boolean {[]} {[]}
CodeableConcept {[]} {[]}","Role (active ingredient, excipient). Typically excipients are not needed, so by default active ingredients are expected.","Role (active ingredient, excipient). Typically excipients are not needed, so by default active ingredients are expected.","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.item.ingredient.role[x]",0,1,"",""
"MedicinalProductModel.item.ingredient.substance","MedicinalProductModel.item.ingredient.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Substance","Substance","","","","","","","","","",,,,,"",,,,"MedicinalProductModel.item.ingredient.substance",1,1,"",""
