"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicationDispensation","MedicationDispensation","","","",0,*,"","","","null {[]} {[]}
","Medication dispensation (model)","Logical model for medication dispensation (based on request or independently)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"MedicationDispensation.identifier","MedicationDispensation.identifier","","","",0,*,"","","","Element {[CanonicalType[https://profiles.ihe.net/Domain/LogicalDatatypes/StructureDefinition/InstanceIdentifier]]} {[]}
","Identifier for the dispense","Identifier for the dispense","","","","","","","","","",,,,,"",,,,"MedicationDispensation.identifier",0,*,"",""
"MedicationDispensation.patient","MedicationDispensation.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/ihe.pharm.mpd/StructureDefinition/PatientBasic]]}
","The person for whom the medication is prescribed/ordered","The person for whom the medication is prescribed/ordered","","","","","","","","","",,,,,"",,,,"MedicationDispensation.patient",1,1,"",""
"MedicationDispensation.receiver","MedicationDispensation.receiver","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/ihe.pharm.mpd/StructureDefinition/PatientBasic], CanonicalType[http://profiles.ihe.net/PHARM/ihe.pharm.mpd/StructureDefinition/PractitionerBasic]]}
","Identification of the person who received the dispensed medication, especially when it was not the patient","Identification of the person who received the dispensed medication, especially when it was not the patient","","","","","","","","","",,,,,"",,,,"MedicationDispensation.receiver",0,1,"",""
"MedicationDispensation.dispenser","MedicationDispensation.dispenser","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/ihe.pharm.mpd/StructureDefinition/PractitionerBasic], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","The person who dispensed the product, and takes the responsibility of the dispensation","The person who dispensed the product, and takes the responsibility of the dispensation","","","","","","","","","",,,,,"",,,,"MedicationDispensation.dispenser",1,1,"",""
"MedicationDispensation.relatedRequest","MedicationDispensation.relatedRequest","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/ihe.pharm.mpd/StructureDefinition/MedicationPrescription]]}
","Prescription/request/order the dispense is related to","Prescription/request/order the dispense is related to","","","","","","","","","",,,,,"",,,,"MedicationDispensation.relatedRequest",0,*,"",""
"MedicationDispensation.medication","MedicationDispensation.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/ihe.pharm.mpd/StructureDefinition/MedicinalProductLM]]}
","Exact dispensed product","Exact dispensed product","","","","","","","","","",,,,,"",,,,"MedicationDispensation.medication",1,1,"",""
"MedicationDispensation.dispensedQuantity","MedicationDispensation.dispensedQuantity","","","",1,1,"","","","Element {[CanonicalType[https://profiles.ihe.net/Domain/LogicalDatatypes/StructureDefinition/PQ]]} {[]}
","Number of dispensed packages if the pack size is known, or number of smaller items/units","Number of dispensed packages if the pack size is known, or number of smaller items/units","","","","","","","","","",,,,,"",,,,"MedicationDispensation.dispensedQuantity",1,1,"",""
"MedicationDispensation.timeOfDispensation","MedicationDispensation.timeOfDispensation","","","",1,1,"","","","Element {[CanonicalType[https://profiles.ihe.net/Domain/LogicalDatatypes/StructureDefinition/DT]]} {[]}
","Date and time of dispensation","Date and time of dispensation","","","","","","","","","",,,,,"",,,,"MedicationDispensation.timeOfDispensation",1,1,"",""
"MedicationDispensation.substitution","MedicationDispensation.substitution","","","",0,1,"","","","BackboneElement {[]} {[]}
","Indicated whether substitution was made by the dispenser","Question: is this relevant? It is in eHDSI dispensation.","","","","","","","","","",,,,,"",,,,"MedicationDispensation.substitution",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
