"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicationOrder","MedicationOrder","","","",0,*,"","","","null {[]} {[]}
","Medication prescription (model)","Logical model for medication prescription (or some other form of order)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"MedicationOrder.identifier","MedicationOrder.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier(s) for the prescription","Business identifier(s) for the prescription","","","","","","","","","",,,,,"",,,,"MedicationOrder.identifier",1,*,"",""
"MedicationOrder.groupIdentifier","MedicationOrder.groupIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","","","","","","","","","",,,,,"",,,,"MedicationOrder.groupIdentifier",0,1,"",""
"MedicationOrder.patient","MedicationOrder.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/MPD/StructureDefinition/PatientBasic]]}
","The person for whom the medication is prescribed/ordered","Question: would we want to add basic Patient model?","","","","","","","","","",,,,,"",,,,"MedicationOrder.patient",1,1,"",""
"MedicationOrder.recordingDate","MedicationOrder.recordingDate","","","",0,1,"","","","dateTime {[]} {[]}
","Time of authoring the prescription/draft in the information system","Time of authoring the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"MedicationOrder.recordingDate",0,1,"",""
"MedicationOrder.basedOn","MedicationOrder.basedOn","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/MPD/StructureDefinition/MedicationOrder]]}
","What this order is based on","This is a reference to the order that this order is based on. For example, a prescription for a medication may be based on a proposal, and an administration request may be based on a prescription.","","","","","","","","","",,,,,"",,,,"MedicationOrder.basedOn",0,1,"",""
"MedicationOrder.issueDate","MedicationOrder.issueDate","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care practicioner","Time of issuing (signing) the prescription by health care practicioner","","","","","","","","","",,,,,"",,,,"MedicationOrder.issueDate",1,1,"",""
"MedicationOrder.recorder","MedicationOrder.recorder","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/MPD/StructureDefinition/PractitionerBasic], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The recorder of the prescription/draft in the information system","The recorder of the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"MedicationOrder.recorder",0,1,"",""
"MedicationOrder.prescriber","MedicationOrder.prescriber","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/MPD/StructureDefinition/PractitionerBasic], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The person who made the prescription, and who takes the responsibility of the treatment","Question: would we want to add basic Practicioner model?","","","","","","","","","",,,,,"",,,,"MedicationOrder.prescriber",1,1,"",""
"MedicationOrder.category","MedicationOrder.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","","","","","","","","","",,,,,"",,,,"MedicationOrder.category",0,*,"",""
"MedicationOrder.validFrom","MedicationOrder.validFrom","","","",0,1,"","","","dateTime {[]} {[]}
","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","","","","","","","","","",,,,,"",,,,"MedicationOrder.validFrom",0,1,"",""
"MedicationOrder.validUntil","MedicationOrder.validUntil","","","",0,1,"","","","dateTime {[]} {[]}
","The validity period end date. The prescription is not dispensable after this date.","The validity period end date. The prescription is not dispensable after this date.","","","","","","","","","",,,,,"",,,,"MedicationOrder.validUntil",0,1,"",""
"MedicationOrder.status","MedicationOrder.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the prescription, this should not be status of treatment","Status of the prescription, this should not be status of treatment","","","","","","","","","",,,,,"",,,,"MedicationOrder.status",1,1,"",""
"MedicationOrder.statusReason","MedicationOrder.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the current status of prescription, for example the reason why the prescription was made invalid","Reason for the current status of prescription, for example the reason why the prescription was made invalid","","","","","","","","","",,,,,"",,,,"MedicationOrder.statusReason",0,*,"",""
"MedicationOrder.comment","MedicationOrder.comment","","","",0,*,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","","","","","","","","","",,,,,"",,,,"MedicationOrder.comment",0,*,"",""
"MedicationOrder.medication","MedicationOrder.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/MPD/StructureDefinition/MedicinalProductLM]]}
","Prescribed product, branded, generic, virtual, extemporal, etc","Prescribed product, branded, generic, virtual, extemporal, etc","","","","","","","","","",,,,,"",,,,"MedicationOrder.medication",1,1,"",""
"MedicationOrder.indication","MedicationOrder.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the prescription (typically diagnosis, prophylaxis, or a procedure)","Reason for the prescription (typically diagnosis, prophylaxis, or a procedure)","","","","","","","","","",,,,,"",,,,"MedicationOrder.indication",0,*,"",""
"MedicationOrder.indicationText","MedicationOrder.indicationText","","","",0,1,"","","","string {[]} {[]}
","Reason for the prescription in textual form. This might not be allowed by some implementations.","Reason for the prescription in textual form. This might not be allowed by some implementations.","","","","","","","","","",,,,,"",,,,"MedicationOrder.indicationText",0,1,"",""
"MedicationOrder.prescriptionIntent","MedicationOrder.prescriptionIntent","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of intent of the prescription - prophylaxis, treatment, anesthesia, etc","Type of intent of the prescription - prophylaxis, treatment, anesthesia, etc","","","","","","","","","",,,,,"",,,,"MedicationOrder.prescriptionIntent",0,1,"",""
"MedicationOrder.treatmentPeriod","MedicationOrder.treatmentPeriod","","","",0,1,"","","","Period {[]} {[]}
","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","Period over which the medication is to be taken (in case of multiple dosaging schemes, this would be the overall period of all dosages.)","","","","","","","","","",,,,,"",,,,"MedicationOrder.treatmentPeriod",0,1,"",""
"MedicationOrder.quantityPrescribed","MedicationOrder.quantityPrescribed","","","",0,1,"","","","Quantity {[]} {[]}
","Overall quantity of prescribed product (e.g number of packages or number of tablets).","Overall quantity of prescribed product (e.g number of packages or number of tablets).","","","","","","","","","",,,,,"",,,,"MedicationOrder.quantityPrescribed",0,1,"",""
"MedicationOrder.dosageInstructions","MedicationOrder.dosageInstructions","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://profiles.ihe.net/PHARM/MPD/StructureDefinition/DosagingInformation]]}
","Dosaging and administration instructions","Dosaging and administration instructions","","","","","","","","","",,,,,"",,,,"MedicationOrder.dosageInstructions",0,*,"",""
"MedicationOrder.preparationInstructions","MedicationOrder.preparationInstructions","","","",0,1,"","","","string {[]} {[]}
","Additional instructions about preparation or dispense","Additional instructions about preparation or dispense","","","","","","","","","",,,,,"",,,,"MedicationOrder.preparationInstructions",0,1,"",""
"MedicationOrder.substitution","MedicationOrder.substitution","","","",0,1,"","","","BackboneElement {[]} {[]}
","Whether and which type of substitution is allowed for this medication treatment line","Whether and which type of substitution is allowed for this medication treatment line","","","","","","","","","",,,,,"",,,,"MedicationOrder.substitution",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationOrder.substitution.id","MedicationOrder.substitution.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
