Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ihe.pharm.mpd.json	33708	-	0	0	0	0	0	0	6	86	0	0	0	0	0	0	0	0	0	0	133	110	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseConsumer.json	628	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	13	12	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseReceiver.json	636	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseReporter.json	623	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseResponder.json	640	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderConsumer.json	608	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderPlacer.json	613	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderReceiver.json	645	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderResponder.json	619	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-200-multiitem-prescription-without-orchestration.json	3779	15	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseConsumerCS.json	1506	5	0	0	0	0	1	0	1	18	0	0	0	0	0	0	0	0	0	0	18	31	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseReceiverCS.json	3907	5	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	26	19	0	0	1	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseReporterCS.json	3653	5	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	22	13	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseResponderCS.json	4788	4	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	25	20	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderConsumerCS.json	1998	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderPlacerCS.json	1984	4	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderReceiverCS.json	2000	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderResponderCS.json	4044	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	24	11	0	0	0	1	0	0
fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json	1407	6	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	1
fsh-generated/resources/Medication-01B-Cefuroxime1500GenericConcept.json	424	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json	2678	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json	2650	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json	1883	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json	1752	3	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json	1510	4	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json	4320	5	0	0	0	0	0	0	1	154	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Medication-04-FirmagonBranded.json	4115	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Medication-05A-Tilidin-Branded.json	3703	4	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-10-dispense-1.json	968	5	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-10-dispense-2.json	956	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-300-dispense-for-2-requests.json	879	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-10-prescription-cefuroxime-singleline.json	3207	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100-3-medication-prescription-request1.json	1883	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100-3-medication-prescription-request2.json	1821	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100-3-medication-prescription-request3.json	1823	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine1.json	519	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine2.json	532	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine3.json	519	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine4.json	518	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine5.json	518	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine6.json	518	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine7.json	417	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine8.json	417	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine9.json	417	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/Organization-organization1.json	162	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Organization-organization2.json	153	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
fsh-generated/resources/Patient-patient1.json	256	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Patient-patient2.json	257	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner1.json	219	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner2.json	227	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-doctor1.json	478	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-pharmacist1.json	461	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-activity-resource.json	517	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-group-or-identifier.json	495	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DosagingInformation.json	18240	10	0	32	0	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0	257	950	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-IHEMedication.json	8912	6	0	183	0	0	0	0	0	156	0	0	1	0	0	0	0	0	0	0	171	374	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-IHEMedicationDispense.json	2524	3	0	41	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	170	241	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-IHEMedicationOrder.json	8301	6	0	102	0	0	0	0	0	43	0	0	0	0	0	0	0	2	0	0	339	425	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-IHEMedicationOrderModel.json	16724	8	0	22	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	156	147	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-IHEMultilineOrder.json	16572	8	0	24	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	160	139	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-MedicinalProductModel.json	15090	7	0	25	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	176	151	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-PatientBasic.json	2894	4	0	13	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	30	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PractitionerBasic.json	5045	4	0	15	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	58	73	0	0	0	3	0	0
