Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateOtherVersions	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ihe.pharm.mpd.json	33311	-	0	0	0	0	0	0	6	0	71	0	0	0	0	0	0	0	1	0	0	135	172	0	0	0	4	0	1
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseConsumer.json	626	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseReceiver.json	634	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseReporter.json	621	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.DispenseResponder.json	638	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderConsumer.json	606	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderPlacer.json	611	3	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderReceiver.json	643	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-IHE.MPD.OrderResponder.json	617	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	29	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-200-multiitem-prescription-without-orchestration.json	3776	16	0	0	0	0	0	0	1	0	419	0	0	0	0	0	0	0	1	0	0	37	21	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseConsumerCS.json	1552	3	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	29	24	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseReceiverCS.json	3885	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	26	13	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseReporterCS.json	3643	4	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.DispenseResponderCS.json	4766	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderConsumerCS.json	1995	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderPlacerCS.json	1981	4	0	0	1	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	22	6	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderReceiverCS.json	2001	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.MPD.OrderResponderCS.json	4045	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	24	13	0	0	0	1	0	0
fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json	1407	4	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Medication-01B-Cefuroxime1500GenericConcept.json	424	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json	2678	2	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json	2650	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json	1828	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json	1752	3	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json	1510	2	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json	4320	4	0	0	0	0	0	0	1	0	152	0	0	0	0	0	0	0	1	0	0	19	8	0	0	0	0	0	0
fsh-generated/resources/Medication-04-FirmagonBranded.json	4005	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0
fsh-generated/resources/Medication-05A-Tilidin-Branded.json	3365	4	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-10-dispense-1.json	968	5	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-10-dispense-2.json	956	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-300-dispense-for-2-requests.json	879	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-10-prescription-cefuroxime-singleline.json	3278	6	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	23	10	0	0	1	0	1	0
fsh-generated/resources/MedicationRequest-100-3-medication-prescription-request1.json	1883	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	31	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100-3-medication-prescription-request2.json	1821	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100-3-medication-prescription-request3.json	1823	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	31	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine1.json	581	2	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine2.json	594	2	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine3.json	579	2	0	0	0	0	0	0	1	0	73	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine4.json	578	1	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine5.json	578	2	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine6.json	578	2	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine7.json	477	2	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine8.json	477	1	0	0	1	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionLine9.json	477	2	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/Organization-organization1.json	162	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Organization-organization2.json	153	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Patient-patient1.json	256	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Patient-patient2.json	257	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner1.json	219	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner2.json	227	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-doctor1.json	478	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-pharmacist1.json	461	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-activity-resource.json	516	5	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-group-or-identifier.json	493	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DosagingInformation.json	18240	8	0	34	0	0	0	0	0	0	41	0	0	1	0	0	0	0	1	0	0	255	871	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-IHEMedication.json	8912	4	0	78	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	157	441	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-IHEMedicationDispense.json	2524	2	0	69	0	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	145	375	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-IHEMedicationDispenseModel.json	9408	5	0	23	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	93	137	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-IHEMedicationOrder.json	8301	4	0	126	0	0	0	0	0	0	50	0	0	0	0	0	0	0	1	0	0	330	627	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-IHEMedicationOrderModel.json	16724	5	0	21	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	143	163	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-IHEMultilineOrder.json	16572	6	0	21	0	0	0	0	0	0	26	0	0	1	0	0	0	0	1	0	0	149	172	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-MedicinalProductModel.json	15090	5	0	26	1	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	189	172	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-PatientBasic.json	2894	3	0	13	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	32	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PractitionerBasic.json	5045	2	0	16	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	60	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-characteristic.json	3628	3	0	15	0	0	0	0	0	5	17	0	0	0	0	0	0	0	1	0	0	97	74	0	1	0	3	0	1
fsh-generated/resources/StructureDefinition-ihe-ext-medication-classification.json	1882	3	0	12	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	33	55	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-device.json	2890	2	0	14	0	0	0	0	0	4	13	0	0	0	0	0	0	0	0	0	0	68	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-ingredient-role.json	1800	2	0	12	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	32	52	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-productname.json	1762	2	0	12	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	31	46	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-sizeofitem.json	1684	2	0	12	1	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	29	52	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-strengthsubstance.json	1962	3	0	12	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	30	44	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-strengthtype.json	1602	2	0	3	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	29	48	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medication-unitofpresentation.json	2230	2	0	4	0	0	0	0	0	2	9	0	0	0	0	1	0	0	0	0	0	33	43	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-medicationrequest-prescribedQuantity.json	1787	2	0	4	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	30	72	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ihe-ext-offLabel.json	3279	2	0	5	0	0	0	0	0	3	12	0	0	0	0	0	0	0	1	0	0	70	99	0	0	0	2	0	1
