Fragment,Count,Time (ms),Size (bytes)
Canonical.summary,11,7,12433
Canonical.summary-table,11,8,12433
Cross.canonical-index,1,0,9660
Cross.codesystem-list,1,0,129
Cross.codesystem-ref-all-list,1,2,11694
Cross.codesystem-ref-list,1,1,1703
Cross.cross-version-analysis,1,0,0
Cross.cross-version-analysis-inline,1,0,0
Cross.dependency-table,1,0,9972
Cross.dependency-table-nontech,1,0,2801
Cross.dependency-table-short,1,0,9685
Cross.extension-list,1,1,6776
Cross.extension-list-,231,48,207400
Cross.extension-search,11,0,209
Cross.extension-search-list,162,1,3404
Cross.globals-table,1,0,64
Cross.ip-statements,1,9,8885
Cross.list-accounts,1,0,0
Cross.list-accounts-json,1,0,0
Cross.list-accounts-xml,1,1,0
Cross.list-activitydefinitions,1,0,0
Cross.list-activitydefinitions-json,1,1,0
Cross.list-activitydefinitions-xml,1,1,0
Cross.list-actordefinitions,1,0,1488
Cross.list-actordefinitions-json,1,1,1528
Cross.list-actordefinitions-xml,1,1,1520
Cross.list-administrableproductdefinitions,1,0,0
Cross.list-administrableproductdefinitions-json,1,0,0
Cross.list-administrableproductdefinitions-xml,1,0,0
Cross.list-adverseevents,1,0,0
Cross.list-adverseevents-json,1,0,0
Cross.list-adverseevents-xml,1,0,0
Cross.list-allergyintolerances,1,0,0
Cross.list-allergyintolerances-json,1,0,0
Cross.list-allergyintolerances-xml,1,1,0
Cross.list-appointmentresponses,1,0,0
Cross.list-appointmentresponses-json,1,0,0
Cross.list-appointmentresponses-xml,1,0,0
Cross.list-appointments,1,0,0
Cross.list-appointments-json,1,0,0
Cross.list-appointments-xml,1,1,0
Cross.list-artifactassessments,1,0,0
Cross.list-artifactassessments-json,1,0,0
Cross.list-artifactassessments-xml,1,1,0
Cross.list-auditevents,1,0,0
Cross.list-auditevents-json,1,0,0
Cross.list-auditevents-xml,1,0,0
Cross.list-basics,1,0,0
Cross.list-basics-json,1,0,0
Cross.list-basics-xml,1,0,0
Cross.list-binaries,1,0,0
Cross.list-binaries-json,1,1,0
Cross.list-binaries-xml,1,1,0
Cross.list-biologicallyderivedproductdispenses,1,0,0
Cross.list-biologicallyderivedproductdispenses-json,1,0,0
Cross.list-biologicallyderivedproductdispenses-xml,1,0,0
Cross.list-biologicallyderivedproducts,1,0,0
Cross.list-biologicallyderivedproducts-json,1,0,0
Cross.list-biologicallyderivedproducts-xml,1,0,0
Cross.list-bodystructures,1,0,0
Cross.list-bodystructures-json,1,0,0
Cross.list-bodystructures-xml,1,1,0
Cross.list-bundles,1,0,240
Cross.list-bundles-json,1,0,245
Cross.list-bundles-xml,1,1,244
Cross.list-byid-accounts,1,0,0
Cross.list-byid-accounts-json,1,0,0
Cross.list-byid-accounts-xml,1,0,0
Cross.list-byid-activitydefinitions,1,0,0
Cross.list-byid-activitydefinitions-json,1,0,0
Cross.list-byid-activitydefinitions-xml,1,0,0
Cross.list-byid-actordefinitions,1,0,1488
Cross.list-byid-actordefinitions-json,1,1,1528
Cross.list-byid-actordefinitions-xml,1,1,1520
Cross.list-byid-administrableproductdefinitions,1,0,0
Cross.list-byid-administrableproductdefinitions-json,1,0,0
Cross.list-byid-administrableproductdefinitions-xml,1,1,0
Cross.list-byid-adverseevents,1,0,0
Cross.list-byid-adverseevents-json,1,0,0
Cross.list-byid-adverseevents-xml,1,1,0
Cross.list-byid-allergyintolerances,1,0,0
Cross.list-byid-allergyintolerances-json,1,0,0
Cross.list-byid-allergyintolerances-xml,1,0,0
Cross.list-byid-appointmentresponses,1,0,0
Cross.list-byid-appointmentresponses-json,1,0,0
Cross.list-byid-appointmentresponses-xml,1,0,0
Cross.list-byid-appointments,1,0,0
Cross.list-byid-appointments-json,1,0,0
Cross.list-byid-appointments-xml,1,1,0
Cross.list-byid-artifactassessments,1,0,0
Cross.list-byid-artifactassessments-json,1,0,0
Cross.list-byid-artifactassessments-xml,1,0,0
Cross.list-byid-auditevents,1,0,0
Cross.list-byid-auditevents-json,1,1,0
Cross.list-byid-auditevents-xml,1,1,0
Cross.list-byid-basics,1,0,0
Cross.list-byid-basics-json,1,1,0
Cross.list-byid-basics-xml,1,1,0
Cross.list-byid-binaries,1,0,0
Cross.list-byid-binaries-json,1,0,0
Cross.list-byid-binaries-xml,1,0,0
Cross.list-byid-biologicallyderivedproductdispenses,1,0,0
Cross.list-byid-biologicallyderivedproductdispenses-json,1,0,0
Cross.list-byid-biologicallyderivedproductdispenses-xml,1,0,0
Cross.list-byid-biologicallyderivedproducts,1,0,0
Cross.list-byid-biologicallyderivedproducts-json,1,0,0
Cross.list-byid-biologicallyderivedproducts-xml,1,0,0
Cross.list-byid-bodystructures,1,0,0
Cross.list-byid-bodystructures-json,1,0,0
Cross.list-byid-bodystructures-xml,1,0,0
Cross.list-byid-bundles,1,0,240
Cross.list-byid-bundles-json,1,0,245
Cross.list-byid-bundles-xml,1,0,244
Cross.list-byid-canonicalresources,1,0,0
Cross.list-byid-canonicalresources-json,1,0,0
Cross.list-byid-canonicalresources-xml,1,0,0
Cross.list-byid-capabilitystatements,1,2,2430
Cross.list-byid-capabilitystatements-json,1,2,2470
Cross.list-byid-capabilitystatements-xml,1,2,2462
Cross.list-byid-careplans,1,0,0
Cross.list-byid-careplans-json,1,0,0
Cross.list-byid-careplans-xml,1,0,0
Cross.list-byid-careteams,1,0,0
Cross.list-byid-careteams-json,1,0,0
Cross.list-byid-careteams-xml,1,0,0
Cross.list-byid-chargeitemdefinitions,1,0,0
Cross.list-byid-chargeitemdefinitions-json,1,0,0
Cross.list-byid-chargeitemdefinitions-xml,1,0,0
Cross.list-byid-chargeitems,1,0,0
Cross.list-byid-chargeitems-json,1,0,0
Cross.list-byid-chargeitems-xml,1,0,0
Cross.list-byid-citations,1,0,0
Cross.list-byid-citations-json,1,0,0
Cross.list-byid-citations-xml,1,0,0
Cross.list-byid-claimresponses,1,0,0
Cross.list-byid-claimresponses-json,1,0,0
Cross.list-byid-claimresponses-xml,1,0,0
Cross.list-byid-claims,1,0,0
Cross.list-byid-claims-json,1,0,0
Cross.list-byid-claims-xml,1,0,0
Cross.list-byid-clinicalimpressions,1,0,0
Cross.list-byid-clinicalimpressions-json,1,0,0
Cross.list-byid-clinicalimpressions-xml,1,0,0
Cross.list-byid-clinicalusedefinitions,1,0,0
Cross.list-byid-clinicalusedefinitions-json,1,0,0
Cross.list-byid-clinicalusedefinitions-xml,1,0,0
Cross.list-byid-codesystems,1,0,0
Cross.list-byid-codesystems-json,1,1,0
Cross.list-byid-codesystems-xml,1,1,0
Cross.list-byid-communicationrequests,1,0,0
Cross.list-byid-communicationrequests-json,1,0,0
Cross.list-byid-communicationrequests-xml,1,0,0
Cross.list-byid-communications,1,0,0
Cross.list-byid-communications-json,1,0,0
Cross.list-byid-communications-xml,1,0,0
Cross.list-byid-compartmentdefinitions,1,0,0
Cross.list-byid-compartmentdefinitions-json,1,0,0
Cross.list-byid-compartmentdefinitions-xml,1,0,0
Cross.list-byid-compositions,1,0,0
Cross.list-byid-compositions-json,1,0,0
Cross.list-byid-compositions-xml,1,0,0
Cross.list-byid-conceptmaps,1,0,0
Cross.list-byid-conceptmaps-json,1,1,0
Cross.list-byid-conceptmaps-xml,1,1,0
Cross.list-byid-conditiondefinitions,1,0,0
Cross.list-byid-conditiondefinitions-json,1,0,0
Cross.list-byid-conditiondefinitions-xml,1,0,0
Cross.list-byid-conditions,1,0,0
Cross.list-byid-conditions-json,1,0,0
Cross.list-byid-conditions-xml,1,0,0
Cross.list-byid-consents,1,0,0
Cross.list-byid-consents-json,1,0,0
Cross.list-byid-consents-xml,1,0,0
Cross.list-byid-contracts,1,0,0
Cross.list-byid-contracts-json,1,0,0
Cross.list-byid-contracts-xml,1,0,0
Cross.list-byid-coverageeligibilityrequests,1,0,0
Cross.list-byid-coverageeligibilityrequests-json,1,0,0
Cross.list-byid-coverageeligibilityrequests-xml,1,0,0
Cross.list-byid-coverageeligibilityresponses,1,0,0
Cross.list-byid-coverageeligibilityresponses-json,1,0,0
Cross.list-byid-coverageeligibilityresponses-xml,1,0,0
Cross.list-byid-coverages,1,0,0
Cross.list-byid-coverages-json,1,0,0
Cross.list-byid-coverages-xml,1,0,0
Cross.list-byid-detectedissues,1,0,0
Cross.list-byid-detectedissues-json,1,0,0
Cross.list-byid-detectedissues-xml,1,1,0
Cross.list-byid-deviceassociations,1,0,0
Cross.list-byid-deviceassociations-json,1,0,0
Cross.list-byid-deviceassociations-xml,1,0,0
Cross.list-byid-devicedefinitions,1,0,0
Cross.list-byid-devicedefinitions-json,1,0,0
Cross.list-byid-devicedefinitions-xml,1,0,0
Cross.list-byid-devicedispenses,1,0,0
Cross.list-byid-devicedispenses-json,1,0,0
Cross.list-byid-devicedispenses-xml,1,0,0
Cross.list-byid-devicemetrics,1,0,0
Cross.list-byid-devicemetrics-json,1,0,0
Cross.list-byid-devicemetrics-xml,1,0,0
Cross.list-byid-devicerequests,1,0,0
Cross.list-byid-devicerequests-json,1,1,0
Cross.list-byid-devicerequests-xml,1,1,0
Cross.list-byid-devices,1,0,0
Cross.list-byid-devices-json,1,0,0
Cross.list-byid-devices-xml,1,0,0
Cross.list-byid-deviceusages,1,0,0
Cross.list-byid-deviceusages-json,1,1,0
Cross.list-byid-deviceusages-xml,1,1,0
Cross.list-byid-diagnosticreports,1,0,0
Cross.list-byid-diagnosticreports-json,1,0,0
Cross.list-byid-diagnosticreports-xml,1,1,0
Cross.list-byid-documentreferences,1,0,0
Cross.list-byid-documentreferences-json,1,0,0
Cross.list-byid-documentreferences-xml,1,0,0
Cross.list-byid-domainresources,1,0,0
Cross.list-byid-domainresources-json,1,0,0
Cross.list-byid-domainresources-xml,1,1,0
Cross.list-byid-encounterhistories,1,0,0
Cross.list-byid-encounterhistories-json,1,0,0
Cross.list-byid-encounterhistories-xml,1,0,0
Cross.list-byid-encounters,1,0,0
Cross.list-byid-encounters-json,1,0,0
Cross.list-byid-encounters-xml,1,0,0
Cross.list-byid-endpoints,1,0,0
Cross.list-byid-endpoints-json,1,0,0
Cross.list-byid-endpoints-xml,1,0,0
Cross.list-byid-enrollmentrequests,1,0,0
Cross.list-byid-enrollmentrequests-json,1,0,0
Cross.list-byid-enrollmentrequests-xml,1,0,0
Cross.list-byid-enrollmentresponses,1,1,0
Cross.list-byid-enrollmentresponses-json,1,1,0
Cross.list-byid-enrollmentresponses-xml,1,1,0
Cross.list-byid-episodeofcares,1,0,0
Cross.list-byid-episodeofcares-json,1,1,0
Cross.list-byid-episodeofcares-xml,1,1,0
Cross.list-byid-eventdefinitions,1,1,0
Cross.list-byid-eventdefinitions-json,1,1,0
Cross.list-byid-eventdefinitions-xml,1,1,0
Cross.list-byid-evidencereports,1,0,0
Cross.list-byid-evidencereports-json,1,0,0
Cross.list-byid-evidencereports-xml,1,0,0
Cross.list-byid-evidences,1,0,0
Cross.list-byid-evidences-json,1,0,0
Cross.list-byid-evidences-xml,1,0,0
Cross.list-byid-evidencevariables,1,0,0
Cross.list-byid-evidencevariables-json,1,0,0
Cross.list-byid-evidencevariables-xml,1,0,0
Cross.list-byid-examplescenarios,1,0,0
Cross.list-byid-examplescenarios-json,1,0,0
Cross.list-byid-examplescenarios-xml,1,0,0
Cross.list-byid-explanationofbenefits,1,0,0
Cross.list-byid-explanationofbenefits-json,1,0,0
Cross.list-byid-explanationofbenefits-xml,1,0,0
Cross.list-byid-familymemberhistories,1,0,0
Cross.list-byid-familymemberhistories-json,1,0,0
Cross.list-byid-familymemberhistories-xml,1,1,0
Cross.list-byid-flags,1,0,0
Cross.list-byid-flags-json,1,1,0
Cross.list-byid-flags-xml,1,1,0
Cross.list-byid-formularyitems,1,0,0
Cross.list-byid-formularyitems-json,1,0,0
Cross.list-byid-formularyitems-xml,1,0,0
Cross.list-byid-genomicstudies,1,0,0
Cross.list-byid-genomicstudies-json,1,0,0
Cross.list-byid-genomicstudies-xml,1,0,0
Cross.list-byid-goals,1,0,0
Cross.list-byid-goals-json,1,0,0
Cross.list-byid-goals-xml,1,0,0
Cross.list-byid-graphdefinitions,1,1,0
Cross.list-byid-graphdefinitions-json,1,1,0
Cross.list-byid-graphdefinitions-xml,1,1,0
Cross.list-byid-groups,1,0,0
Cross.list-byid-groups-json,1,0,0
Cross.list-byid-groups-xml,1,0,0
Cross.list-byid-guidanceresponses,1,0,0
Cross.list-byid-guidanceresponses-json,1,1,0
Cross.list-byid-guidanceresponses-xml,1,1,0
Cross.list-byid-healthcareservices,1,0,0
Cross.list-byid-healthcareservices-json,1,0,0
Cross.list-byid-healthcareservices-xml,1,0,0
Cross.list-byid-imagingselections,1,0,0
Cross.list-byid-imagingselections-json,1,0,0
Cross.list-byid-imagingselections-xml,1,0,0
Cross.list-byid-imagingstudies,1,0,0
Cross.list-byid-imagingstudies-json,1,1,0
